PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Blake Griffin,LAC,28,61,2076,3.6,2.5,2,0.2,7.4,4.2,11.7
Tyler Ulis,PHX,21,61,1123,0,4,1.8,0.1,2.9,3.1,6
Lavoy Allen,IND,28,61,871,4.6,2.1,1.5,0,9.1,5.9,15
Kenneth Faried,DEN,27,61,1296,4,2.9,1.6,0.7,11.1,3.7,14.9
Chris Paul,LAC,32,61,1921,0.3,5.3,2.3,0,3.9,4,7.9
Arron Afflalo,SAC,31,61,1580,0.5,1,0.5,0,4.5,4.5,9
Ben McLemore,SAC,24,61,1176,0.4,3.1,1.2,0.1,4.7,5.1,9.8
Al-Farouq Aminu,POR,26,61,1773,2.9,2.9,1.3,0,11.3,4.8,16.1
Tyus Jones,MIN,21,60,774,0.5,5.1,1.7,0.3,3.2,4.3,7.5
Kevin Love,CLE,28,60,1885,1.7,2.4,1.8,0.2,8.2,3.8,12
Dwyane Wade,CHI,35,60,1792,0.1,3.9,1.6,0,4.5,3.4,7.8
Kyle Lowry,TOR,31,60,2244,1,4.8,1.5,0.3,3.9,3.6,7.6
Nick Young,LAL,32,60,1556,0.8,3,0.9,0.1,4.7,4.3,9
Will Barton,DEN,26,60,1705,0.1,2.7,1.1,0,5.7,3.6,9.3
Rodney Hood,UTA,24,59,1593,0.3,1.8,1.3,0,5.9,3.4,9.3
Spencer Dinwiddie,BKN,24,59,1334,0.6,3.1,1.5,0,6.6,4.4,10.9
Taurean Prince,ATL,23,59,981,0.2,4.1,1.7,0.1,8.2,6.8,15
Montrezl Harrell,HOU,23,58,1064,4.9,1.7,1.5,0.5,15.9,6.6,22.5
John Henson,MIL,26,58,1123,4.8,2.9,1,0,17.1,3,20.1
Trey Burke,WAS,24,57,703,0.2,2.9,1,0,4.2,3.8,8
Tomas Satoransky,WAS,25,57,719,0.3,3.8,1.1,0.1,6.4,4.3,10.7
Gary Harris,DEN,22,57,1782,0.2,4.3,1.5,0,3.4,3.8,7.2
Lucas Nogueira,TOR,24,57,1088,9.3,4,1.2,0,21,4.7,25.7
Richaun Holmes,PHI,23,57,1193,4.1,3.5,1.5,0,15.7,2.6,18.2
Denzel Valentine,CHI,23,57,977,0.2,2.7,1.2,0,4.9,4.3,9.2
Thon Maker,MIL,20,57,562,2.2,2.4,2,0.3,17,4.1,21.1
Caris LeVert,BKN,22,57,1237,0.2,4,1.6,0.1,5.7,4.1,9.7
Kris Humphries,ATL,32,56,689,5.6,2.4,1.1,0,13.5,2.6,16.1
Michael Beasley,MIL,28,56,935,0.6,2.8,1.5,0,7.4,6.1,13.6
Luol Deng,LAL,32,56,1486,0.5,2.4,1,0.1,7.9,5.4,13.4
Shelvin Mack,UTA,27,55,1205,0.4,3.6,1.4,0,5.2,5.1,10.4
Emmanuel Mudiay,DEN,21,55,1406,0.3,2.2,1,0,5.2,4.2,9.5
Avery Bradley,BOS,26,55,1835,0.6,3.9,1.9,0,4.3,3.7,7.9
Pascal Siakam,TOR,23,55,859,2.5,3.9,1.2,0,13.8,6.4,20.2
Brandon Knight,PHX,25,54,1140,0.1,1.7,1.5,0.1,4.3,5.1,9.4
Jakob Poeltl,TOR,21,54,626,7.8,2.9,1.3,0.1,15,2.5,17.5
Terrence Jones,MIL,25,54,1271,3.2,2.2,1.2,0,12.1,4.6,16.8
Spencer Hawes,MIL,29,54,797,5.9,1.5,1,0,13.1,3.4,16.5
Dirk Nowitzki,DAL,39,54,1424,5.6,2.4,0.8,0,10.9,3.3,14.1
Nicolas Brussino,DAL,24,54,521,0.3,2.7,1.2,0,6.2,4.2,10.4
Timofey Mozgov,LAL,30,54,1104,5.9,1.4,0.6,0,17.8,3.5,21.3
Kevon Looney,GSW,21,53,447,3.9,2,1.3,0.2,16.3,7.3,23.6
Tyler Ennis,LAL,22,53,588,0.7,3.3,1.9,0.1,4.9,4.7,9.6
Josh Richardson,MIA,23,53,1614,0.5,3.9,1.6,0,7.9,3.9,11.8
Mike Dunleavy,ATL,36,53,841,0.5,1.8,0.7,0.2,5.7,5,10.7
Shabazz Napier,POR,25,53,512,0.2,5.5,2.1,0,3.5,3.2,6.7
Ron Baker,NYK,24,52,857,0.7,4.7,1.7,0.1,5.8,4.1,9.9
James Michael McAdoo,GSW,24,52,457,5.9,3,0.6,0.1,16.2,5,21.2
Brandon Bass,LAC,32,52,577,5,2.5,1.7,0,9.2,3.7,12.9
Joe Harris,BKN,25,52,1138,0.4,2.1,1.2,0,8.2,5,13.2
Reggie Jackson,DET,27,52,1424,0.4,2.6,1.2,0,5.3,5.8,11.1
Nerlens Noel,DAL,23,51,1047,5,6.2,2.2,0.1,16.4,3.5,19.9
Tyler Zeller,BOS,27,51,525,5.1,1.2,0.7,0.5,16.5,2.8,19.4
Jeff Withey,UTA,27,51,432,8.4,2.4,1.1,0,26.1,2.7,28.8
Jabari Parker,MIL,22,51,1728,0.8,2.9,1.7,0,6.5,6.6,13.1
Derrick Favors,UTA,25,50,1186,6,3.8,1.6,0,15,3.5,18.5
Jahlil Okafor,PHI,21,50,1134,2.6,1.5,1.5,0,18.5,3,21.5
Ramon Sessions,CHA,31,50,811,0.4,2.5,1.5,0,4.1,4.6,8.7
Derrick Williams,CLE,26,50,804,2.4,1.6,0.9,0.1,7.9,5.1,13
KJ McDaniels,BKN,24,49,506,0.2,2.5,1.5,0,6.7,4.8,11.6
George Hill,UTA,31,49,1544,0.2,3.2,1.2,0.2,6.2,4.8,10.9
Anthony Morrow,CHI,31,49,714,0.1,2.9,1.5,0,2.8,3.1,5.8
Kevin Seraphin,IND,27,49,559,5.2,1.5,1,0,13.5,5.9,19.4
Roy Hibbert,DEN,30,48,682,9.9,2,0.9,0,20.6,2.3,22.9
James Jones,CLE,36,48,381,3.4,1.8,0.8,0.1,6.2,4,10.2
Thomas Robinson,LAL,26,48,560,5.2,4.2,2,0.5,8.9,4.4,13.3
Brandon Rush,MIN,31,47,1030,0.5,2,0.7,0.1,5.8,4.6,10.4
Tyson Chandler,PHX,34,47,1298,7.7,2.1,0.9,0,12.5,1.7,14.2
Gerald Green,BOS,31,47,538,0.4,2.1,1.3,0,7,6.3,13.4
Alan Williams,PHX,24,47,708,6.6,3.1,1.8,0,18.1,2.9,21
Zach LaVine,MIN,22,47,1749,0.3,2.2,1.1,0,3.3,4.2,7.5
Joakim Noah,NYK,32,46,1015,8.1,2.5,0.9,0.1,14.6,2.9,17.5
Lance Thomas,NYK,29,46,968,1.1,2.6,1.1,0,3.6,5.1,8.7
Ed Davis,POR,28,46,789,6.5,1.7,1,0,13,2.5,15.5
Yogi Ferrell,DAL,24,46,1197,0.4,3.7,2.4,0.3,3.6,4.3,7.9
Dion Waiters,MIA,25,46,1384,0.4,3.2,1.1,0,6.9,4.6,11.5
Miles Plumlee,CHA,28,45,485,7.2,3.7,1,0,14.2,2.1,16.2
Damjan Rudez,ORL,31,45,314,2.4,2.4,0.9,0,6.1,5,11.2
Michael Carter-Williams,CHI,25,45,846,0.5,4.6,2.4,0.1,7.3,4.3,11.6
Paul Zipser,CHI,23,44,843,0.3,1.6,0.8,0.1,8.9,5.6,14.6
Dragan Bender,PHX,19,43,574,1.9,1.8,1.2,0,14.2,7.4,21.6
Sasha Vujacic,NYK,33,42,408,0.5,3.4,2.6,0,4.1,4.1,8.2
Alec Burks,UTA,25,42,653,0.2,2.4,1.3,0,4.9,4.3,9.2
Jarell Martin,MEM,23,42,558,2.3,3,1.3,0.3,10,4.8,14.8
Kay Felder,CLE,22,42,386,0.7,4.1,1.1,0,5.3,5.8,11.2
Darrell Arthur,DEN,29,41,639,3.8,4.1,1.7,0.1,12.1,4.1,16.2
JR Smith,CLE,31,41,1187,0.9,3.4,1.3,0.1,4.2,4.7,8.8
Rashad Vaughn,MIL,20,41,459,0.2,3.7,0.8,0,5.4,4,9.4
Brian Roberts,CHA,31,41,416,0.6,3,1.3,0.3,4.2,4.8,9
Jose Calderon,ATL,35,41,539,0.4,3.7,2,0.2,3.9,5.1,9
