ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"11 Millsap, Paul ATL",69,67,34,24.4,108,103.3,0.542,0.481,32,24.8,5.3,19.5,12.5,17.70%,1.90%,2.30%,12.10%
"12 Paul, Chris LAC",61,61,31.5,24.5,126.1,103.7,0.614,0.555,29.6,38.5,2.4,15,8.8,46.40%,3.10%,0.30%,14.00%
"12 Sefolosha, Thabo ATL",62,42,25.7,13.3,104.9,103.7,0.519,0.492,13.9,30.4,3.8,14.7,9.3,9.90%,3.00%,1.70%,11.90%
"12 Westbrook, Russell OKC",81,81,34.6,41.7,111.8,103.7,0.554,0.476,36.6,30,5.4,28.8,17.1,57.20%,2.30%,0.90%,15.90%
"12 Green, Danny SA",68,68,26.6,13.5,102.8,103.7,0.537,0.523,6,69.3,2,11.8,7,9.50%,2.00%,2.60%,14.10%
"16 Cousins, DeMarcus NO",72,72,34.2,36.3,108.1,104,0.562,0.498,36.1,25.3,-,-,-,26.20%,-,-,13.50%
"16 Antetokounmpo, Giannis MIL",80,80,35.6,28.3,116.6,104,0.599,0.541,37.4,14.3,5.9,22.6,14.3,26.50%,2.30%,4.70%,13.30%
"18 Aldridge, LaMarcus SA",72,72,32.4,24.6,110.9,104.2,0.532,0.488,21,5.3,8.5,16.6,12.7,10.00%,1.00%,3.00%,7.70%
"18 Covington, Robert PHI",67,67,31.7,19.2,100.2,104.2,0.534,0.492,19.5,56.3,4.8,17.9,11.3,7.40%,2.90%,2.60%,13.90%
"20 Johnson, James MIA",76,5,27.4,22,107,104.4,0.564,0.535,19.8,33.3,3.5,16.6,10,20.80%,1.80%,3.20%,16.50%
"20 Mirotic, Nikola CHI",70,15,24,19.8,107.1,104.4,0.546,0.516,15.8,60.3,3.9,20.9,12.3,6.80%,1.60%,2.60%,10.50%
"22 Allen, Tony MEM",71,66,27,17.8,101,104.5,0.493,0.473,13.4,9.1,9.6,13.8,11.7,8.40%,3.10%,1.40%,13.30%
"23 Vucevic, Nikola ORL",75,55,28.8,24.7,102.6,104.6,0.498,0.48,10.4,7.3,8.6,31.3,19.6,17.10%,1.70%,2.80%,9.60%
"24 Curry, Stephen GS",79,79,33.4,30.2,118.8,104.7,0.624,0.58,22.5,54.7,2.7,11.4,7.3,31.10%,2.60%,0.50%,12.90%
"24 Ingles, Joe UTA",82,26,24,13.9,112.1,104.7,0.604,0.589,11.1,61.9,1.4,13.6,7.6,17.10%,2.50%,0.30%,18.20%
"26 Turner, Myles IND",81,81,31.4,19.6,115.2,105,0.585,0.534,28.2,13.2,6.2,19.6,13,6.50%,1.50%,5.90%,9.50%
"27 Wade, Dwyane CHI",60,59,29.9,29.5,103.5,105.1,0.508,0.457,23.4,15.2,3.8,12.6,8.1,22.40%,2.40%,1.80%,11.30%
"27 Valanciunas, Jonas TOR",80,80,25.8,19.5,120.1,105.1,0.601,0.558,25.1,0.3,12.4,29.1,20.8,4.40%,0.90%,2.60%,11.70%
"29 Gasol, Marc MEM",74,74,34.2,26.5,110.8,105.3,0.554,0.503,24,23.1,2.6,18.8,10.5,24.70%,1.40%,3.70%,11.30%
"29 Capela, Clint HOU",65,59,23.9,19.8,121.9,105.3,0.638,0.643,16.7,0,12.5,24.5,18.5,6.70%,1.00%,4.10%,12.00%
"31 Iguodala, Andre GS",76,0,26.3,11.2,129.1,105.4,0.624,0.605,17.3,42.7,3,13.1,8.3,16.50%,1.80%,1.50%,11.20%
"31 Rondo, Rajon CHI",69,42,26.7,17.8,98.3,105.4,0.461,0.453,5.3,23.7,4.2,16.6,10.4,36.80%,2.70%,0.50%,22.50%
