ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Gomes, Ryan MIN",82,74,29.7,19.5,111.9,112.1,0.539,0.492,26.7,20.9,6.1,16.8,11.3,9.60%,1.40%,0.30%,9.10%
"Hamilton, Richard DET",72,72,33.7,24.5,112.7,106.3,0.552,0.515,21.5,13.7,3.7,7.9,5.8,22.30%,1.70%,0.30%,10.50%
"Brown, Devin CLE",78,20,22.6,17.8,102.2,107.9,0.494,0.451,26.7,27.5,4.1,13.2,8.5,16.10%,1.60%,0.30%,14.30%
"Felton, Raymond CHA",79,79,37.6,20.8,103.9,112.2,0.5,0.441,32.6,20.1,1.4,7.7,4.6,32.40%,1.70%,0.30%,15.70%
"Peterson, Morris NO",76,76,23.6,15.4,112.3,108.2,0.549,0.526,16.5,55.6,2.3,11.3,6.7,5.50%,1.40%,0.30%,6.90%
"Stojakovic, Peja NO",77,77,35.2,19.7,118.6,108.8,0.581,0.552,13.6,51.1,2.7,11.8,7.1,5.60%,1.10%,0.30%,5.30%
"Gordon, Ben CHI",72,27,31.8,26,109.6,110.9,0.558,0.5,27.4,32.4,1.9,9.2,5.4,16.90%,1.20%,0.30%,11.10%
"Parker, Tony SA",69,68,33.5,28.2,108.6,104.7,0.542,0.502,33.3,6.3,1.6,9.6,5.6,34.10%,1.30%,0.30%,12.10%
"Simmons, Bobby MIL",70,21,21.7,17.9,100.3,113.6,0.504,0.482,14.1,34.5,5,12.8,8.7,8.40%,1.70%,0.30%,12.90%
"Iverson, Allen DEN",82,82,41.8,26.7,115.1,109.3,0.567,0.488,51.2,17.7,1.5,6.1,3.8,27.40%,2.20%,0.20%,11.40%
"Farmar, Jordan LAL",82,0,20.6,20.2,109.1,107.1,0.563,0.552,12.4,48.7,2.7,9.1,6,20.50%,2.30%,0.20%,14.00%
"Williams, Jason MIA",67,53,28.1,17,103.9,111.4,0.502,0.472,14.5,50,0.8,7.6,4.1,27.30%,2.30%,0.20%,13.50%
"Maggette, Corey LAC",70,65,35.7,27.6,111.7,110.1,0.595,0.497,68.1,20.3,3.6,14.7,9.1,14.30%,1.50%,0.20%,13.00%
"Calderon, Jose TOR",82,56,30.3,16.8,126.9,108.8,0.607,0.575,17,26,1.6,9.7,5.6,42.30%,1.90%,0.20%,14.20%
"Martin, Kevin SAC",61,57,36.3,26.2,121.1,112.1,0.618,0.515,63.2,29.1,2.6,11.8,7.3,10.10%,1.40%,0.20%,10.10%
"Miller, Andre PHI",82,82,36.8,22.6,112.1,109,0.537,0.494,28.8,2.9,3.7,9.1,6.4,32.00%,1.80%,0.20%,13.70%
"Nelson, Jameer ORL",69,62,28.4,19,112.8,106.7,0.564,0.522,25,25.5,1.7,12.1,7.1,31.10%,1.70%,0.10%,17.40%
"Blake, Steve POR",81,78,29.9,15.3,109.4,111.7,0.518,0.502,10,46.6,1.5,7.9,4.7,27.10%,1.20%,0.10%,14.50%
"Nash, Steve PHX",81,81,34.3,22,120.7,111.8,0.641,0.597,25.5,39.6,1.2,9.6,5.7,47.30%,0.90%,0.10%,21.60%
"Kapono, Jason TOR",81,7,18.9,17.7,105.4,111.1,0.561,0.545,8.6,23.7,2.4,6.9,4.6,6.70%,1.20%,0.10%,10.10%
"Paul, Chris NO",80,80,37.6,25.7,124.7,103.4,0.576,0.524,30.2,19.3,2.4,10.3,6.2,52.20%,3.90%,0.10%,12.10%
"Bell, Charlie MIL",68,5,23.9,16.6,104.8,114.5,0.49,0.457,17.9,44.7,2.1,10.3,6,19.90%,1.70%,0.10%,12.70%
"Fisher, Derek LAL",82,82,27.4,18.6,113.9,108.6,0.556,0.508,24.2,35.5,1.2,6.9,4.2,15.90%,1.90%,0.10%,9.50%
"Daniels, Antonio WSH",71,63,30.4,13.5,117.1,112.3,0.549,0.478,49,16.6,1.2,10,5.5,24.00%,1.70%,0.10%,14.30%
"Robinson, Nate NY",72,17,26.2,23.1,108.7,113.1,0.526,0.485,25.1,37.3,3,10.7,6.7,19.70%,1.70%,0.00%,10.60%
"Jack, Jarrett POR",82,16,27.2,19.3,105,110.3,0.558,0.483,40,30.6,1.6,10.7,6.2,22.70%,1.50%,0.00%,19.60%
"Navarro, Juan Carlos MEM",82,30,25.8,20.3,102.6,114.6,0.539,0.503,19,56.3,1.8,9.4,5.6,13.30%,1.10%,0.00%,13.90%
