ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Bolton, Jeff COLCH",30,30,36.4,27,110.2,94.2,0.539,0.489,30.3,38.8,3.3,9.7,6.2,16.50%,2.50%,1.10%,11.40%
"Eldridge, Courtney UNCGRN",30,30,31.8,24.1,99.6,94.2,0.535,0.47,53.5,26.2,1.6,8.5,5,39.10%,4.60%,0.10%,24.20%
"Vitelli, Paul YALE",32,32,26,20.2,106.6,94.2,0.545,0.502,28.2,57.9,8.1,22.4,13.9,10.10%,2.10%,2.50%,15.80%
"Jones, Scotty AAMU",29,1,16.4,10.4,97.1,94.2,0.461,0.389,43.1,51.4,0.9,6.5,3.2,28.80%,2.60%,0.00%,29.00%
"Dearman, Jermaine SIU",36,35,25.9,26.1,101.8,94.2,0.516,0.478,55.7,0.6,12,19.8,14.6,9.80%,1.70%,2.10%,15.40%
"Waleskowski, Keith DAYTON",32,30,28.6,17,116.5,94.3,0.607,0.551,44.9,6.1,11.3,20,14.7,9.50%,1.40%,1.70%,17.70%
"Fitch, Gerald UK",28,23,27.1,16.2,112.8,94.3,0.57,0.535,36.9,46.5,8,13.5,9.8,9.90%,3.30%,0.10%,17.20%
"Jones, Nick UALR",28,1,22.2,18.3,102.9,94.3,0.557,0.511,58.5,16.9,9,15.3,11.2,12.20%,2.50%,1.40%,22.20%
"Drayton, Collier NU",28,27,33.6,10.3,93.7,94.3,0.486,0.446,57,29,4.1,10.9,6.9,22.70%,3.10%,0.30%,32.10%
"Archibald, Robert ILL",34,31,22.6,21.3,119.9,94.3,0.688,0.659,118.5,0.6,11.6,16.8,13.2,11.40%,1.90%,5.50%,20.30%
"Young, Jitim NU",29,29,30.1,26,95.6,94.3,0.508,0.493,34.4,31.4,7.6,6.3,6.3,16.00%,4.00%,0.50%,14.40%
"Schuck, David UNCGRN",31,31,30.4,21.2,118.1,94.3,0.603,0.5,74.9,10,11.3,13.3,11.6,10.30%,2.50%,4.20%,15.00%
"Carr, Markus CSUN",28,25,32.5,28.4,97.9,94.4,0.521,0.471,30.7,36.5,2.2,10.1,5.4,37.50%,4.80%,0.30%,20.00%
"Cook, Brian ILL",35,34,28.8,23,111.3,94.4,0.603,0.548,32.2,21.6,8.1,18.4,12.5,9.20%,1.70%,5.50%,16.50%
"Dixon, Juan MD",36,36,33.6,26.2,117.1,94.4,0.608,0.555,29.3,43.4,4.4,9.2,6.4,15.80%,4.10%,0.50%,12.80%
"Szatko, Tim HC",33,32,31.8,24.7,104,94.4,0.515,0.452,54.8,18.5,7.9,18.4,11.9,9.70%,1.50%,1.10%,12.30%
"Nesterov, Konstantin VCU",32,14,15.1,15.2,92.5,94.4,0.532,0.529,19.4,48.5,9.8,13.2,10.5,7.70%,1.30%,3.90%,26.80%
"N'Sima, Joseph LOU",32,9,15,9.8,106.5,94.4,0.465,0.449,59.4,4.3,12.7,16.2,13.6,4.50%,1.60%,6.40%,15.50%
"Ely, Melvin FRESNST",28,28,35.6,29.1,116.2,94.5,0.612,0.563,50.1,0.2,9.8,15.7,11.8,12.50%,0.90%,8.50%,12.00%
"Harrell, Jason TNTECH",34,1,24.3,22.6,106.1,94.5,0.537,0.491,33.5,51.6,7.1,17.3,11.4,16.10%,2.70%,1.10%,17.50%
"Craven, Errick USC",32,28,27.7,22.3,103.2,94.5,0.521,0.502,20.5,31.7,6.8,10.4,7.7,12.20%,4.40%,1.40%,14.30%
"Minoff, Matt YALE",32,1,21.3,13.7,121.6,94.5,0.597,0.549,42.4,47.2,5.8,16.9,10.4,14.20%,2.20%,4.70%,13.60%
"Case, Joe COL",28,27,28.5,17.4,89.7,94.6,0.51,0.473,27.7,59,4.5,12.3,7.9,12.90%,1.40%,3.40%,21.50%
