,,,,,,,
,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
95,"Brandon Edwards, UT Arlington (Sun Belt)",Sr.,6-6,F,32,55,1.72
85,"Kyle Tresnak, Weber St. (Big Sky)",Sr.,6-10,C,31,55,1.77
56,"Larry Nance Jr., Wyoming (MWC)",Jr.,6-8,F,26,55,2.12
144,"Deandre Daniels, UConn (AAC)",Jr.,6-9,F,38,54,1.42
129,"Glenn Bryant, Eastern Mich. (MAC)",Sr.,6-8,F,36,54,1.5
109,"Jon Smith, Ohio (MAC)",Sr.,6-7,F,34,54,1.59
109,"Bobby Portis, Arkansas (SEC)",Fr.,6-10,F,34,54,1.59
67,"Brandon West, Jackson St. (SWAC)",Sr.,6-10,C,27,54,2
114,"Donovon Jack, Penn St. (Big Ten)",So.,6-9,F,34,53,1.56
107,"Shawn Glover, Oral Roberts (Southland)",Sr.,6-7,F,33,53,1.61
102,"John Bohannon, UTEP (C-USA)",Sr.,6-11,C,32,53,1.66
102,"Cameron Black, Bowling Green (MAC)",Sr.,6-10,C,32,53,1.66
97,"Joey van Zegeren, Virginia Tech (ACC)",So.,6-10,F,31,53,1.71
139,"Tshilidzi Nephawe, New Mexico St. (WAC)",Jr.,6-10,C,36,52,1.44
119,"Brandon Swannegan, Tulsa (C-USA)",So.,6-8,F,34,52,1.53
119,"Daniel Ochefu, Villanova (Big East)",So.,6-11,F,34,52,1.53
119,"Halil Kanacevic, Saint Joseph's (Atlantic 10)",Sr.,6-8,F,34,52,1.53
154,"Mangok Mathiang, Louisville (AAC)",Fr.,6-10,C,37,51,1.38
129,"Cameron Bairstow, New Mexico (MWC)",Sr.,6-9,F,34,51,1.5
116,"Isaiah Armwood, George Washington (Atlantic 10)",Sr.,6-9,F,33,51,1.55
108,"William Truss, Presbyterian (Big South)",Jr.,6-7,C,32,51,1.59
104,"John Brown, High Point (Big South)",So.,6-7,F,31,51,1.65
143,"Carl Baptiste, Delaware (CAA)",Sr.,6-8,F,35,50,1.43
128,"Mikael Hopkins, Georgetown (Big East)",Jr.,6-9,F,33,50,1.52
100,"Devonte Upson, Southeastern La. (Southland)",Jr.,6-9,C,30,50,1.67
185,"Cory Jefferson, Baylor (Big 12)",Sr.,6-9,F,38,49,1.29
170,"Montrezl Harrell, Louisville (AAC)",So.,6-8,F,37,49,1.32
118,"Moses Kingsley, Arkansas (SEC)",Fr.,6-10,C,32,49,1.53
111,"Venky Jois, Eastern Wash. (Big Sky)",So.,6-7,F,31,49,1.58
111,"Calvin Godfrey, Southern U. (SWAC)",Jr.,6-9,F,31,49,1.58
105,"Karviar Shepherd, TCU (Big 12)",Fr.,6-10,C,30,49,1.63
155,"Mo Alie-Cox, VCU (Atlantic 10)",Fr.,6-6,F,35,48,1.37
115,"Jordan Fouse, Green Bay (Horizon)",So.,6-7,G,31,48,1.55
124,"Shayne Whittington, Western Mich. (MAC)",Sr.,6-11,C,31,47,1.52
124,"Ugochukwu Njoku, Detroit Mercy (Horizon)",Sr.,6-10,C,31,47,1.52
124,"Tymell Murphy, FIU (C-USA)",Sr.,6-5,F,31,47,1.52
124,"Staphon Blair, UCF (AAC)",So.,6-9,F,31,47,1.52
177,"Brad Waldow, Saint Mary's (CA) (WCC)",Jr.,6-9,F,35,46,1.31
177,"Tanner Clayton, SFA (Southland)",Jr.,6-9,F,35,46,1.31
177,"Jalen Carethers, Radford (Big South)",Jr.,6-8,F,35,46,1.31
150,"Beejay Anya, NC State (ACC)",Fr.,6-9,F,33,46,1.39
140,"Cedrick Williams, UNCW (CAA)",Jr.,6-9,F,32,46,1.44
140,"Jesse Chuku, Lehigh (Patriot)",So.,6-8,F,32,46,1.44
133,"Augustine Rubit, South Ala. (Sun Belt)",Sr.,6-7,C,31,46,1.48
133,"Donnavan Kirk, Miami (FL) (ACC)",Sr.,6-9,F,31,46,1.48
117,"Tyler Stone, Southeast Mo. St. (OVC)",Sr.,6-8,F,30,46,1.53
192,"Kadeem Coleby, Wichita St. (MVC)",Sr.,6-9,F,36,45,1.25
171,"Marcus Thornton, Georgia (SEC)",Jr.,6-8,F,34,45,1.32
146,"Tim Williams, Samford (SoCon)",So.,6-8,F,32,45,1.41
146,"Jordan Vandenberg, NC State (ACC)",Sr.,7-1,C,32,45,1.41
146,"Khaliq Spicer, Kent St. (MAC)",So.,6-9,F,32,45,1.41
146,"Adjehi Baru, Col. of Charleston (CAA)",Jr.,6-9,F,32,45,1.41
138,"Jamal Hunter, Jacksonville St. (OVC)",Jr.,6-8,F,31,45,1.45
129,"Michael Ochereobia, Western Ill. (Summit League)",Sr.,6-8,C,30,45,1.5
129,"Will Kelly, Navy (Patriot)",So.,6-9,F,30,45,1.5
210,"Markus Kennedy, SMU (AAC)",So.,6-9,F,37,44,1.19
203,"Timajh Parker-Rivera, Towson (CAA)",So.,6-7,F,36,44,1.22
203,"Jerrelle Benimon, Towson (CAA)",Sr.,6-8,F,36,44,1.22
184,"John Puk, Albany (NY) (America East)",Sr.,6-10,C,34,44,1.29
166,"Taylor Danaher, Mt. St. Mary's (NEC)",So.,7-0,C,33,44,1.33
145,"Martin Seiferth, Eastern Wash. (Big Sky)",Jr.,6-10,F,31,44,1.42
135,"Darryl Palmer, South Carolina St. (MEAC)",So.,6-7,F,30,44,1.47
135,"Tyler Flack, South Dakota (Summit League)",So.,6-7,F,30,44,1.47
123,"Scooter Gillette, Fairleigh Dickinson (NEC)",Sr.,6-9,F,29,44,1.52
201,"Jabari Parker, Duke (ACC)",Fr.,6-8,F,35,43,1.23
190,"Brice Johnson, North Carolina (ACC)",So.,6-9,F,34,43,1.26
190,"Matt Costello, Michigan St. (Big Ten)",So.,6-9,F,34,43,1.26
180,"Delon Wright, Utah (Pac-12)",Jr.,6-5,G,33,43,1.3
180,"Kevin Thomas, Tulane (C-USA)",Sr.,6-9,F,33,43,1.3
180,"Gabriel Olaseni, Iowa (Big Ten)",Jr.,6-10,C,33,43,1.3
162,"Matt Ross, Chicago St. (WAC)",Sr.,6-8,F,32,43,1.34
162,"Ronald Roberts, Saint Joseph's (Atlantic 10)",Sr.,6-8,F,32,43,1.34
162,"Steve Moundou-Missi, Harvard (Ivy League)",Jr.,6-7,F,32,43,1.34
162,"John Egbunu, South Fla. (AAC)",Fr.,6-10,C,32,43,1.34
151,"Mathias Seilund, Fairleigh Dickinson (NEC)",Sr.,6-7,F,31,43,1.39
151,"Wayne Martin, St. Francis Brooklyn (NEC)",Fr.,6-6,F,31,43,1.39
